task,dataset,repeat,seed,method,final_utility,normalized_auc,utility_at_call_10,utility_at_call_20,utility_at_call_60,calls_to_95pct_oracle_gain,reached_95pct_oracle_gain,final_utility_matches_oracle,base_utility,oracle_utility,final_gap_to_oracle
classification,white,14,32014,AutoML,0.6541666666666667,0.6538888888888891,0.6541666666666667,0.6541666666666667,0.6541666666666667,61,0,0,0.6541666666666667,0.7166666666666667,0.0625
regression,red,0,41000,Data-Bandit,0.5450212791060516,0.5449569482533909,0.5450075564547892,0.5450212791060516,0.5450212791060516,4,1,1,0.5110336545160892,0.5450212791060516,0.0
regression,red,0,41000,Data-All,0.5450212791060516,0.5439688710360551,0.5407004566045773,0.5452392231204837,0.5450212791060516,12,1,1,0.5110336545160892,0.5450212791060516,0.0
regression,red,0,41000,Data-Alt,0.5450212791060516,0.5440628666536946,0.5452472563185713,0.5457603236154679,0.5450212791060516,9,1,1,0.5110336545160892,0.5450212791060516,0.0
regression,red,0,41000,AutoML,0.5099810242676858,0.5100399110289751,0.5099810242676858,0.5099810242676858,0.5099810242676858,61,0,0,0.5110336545160892,0.5450212791060516,0.035040254838365814
regression,red,1,41001,Data-Bandit,0.5553461366923574,0.5549694818249494,0.5563788643839043,0.5553461366923574,0.5553461366923574,61,0,0,0.525603504569029,0.5615282292794812,0.006182092587123766
regression,red,1,41001,Data-All,0.5615282292794812,0.5559275117464005,0.5511713102168934,0.5615282292794812,0.5615282292794812,18,1,1,0.525603504569029,0.5615282292794812,0.0
regression,red,1,41001,Data-Alt,0.5615282292794812,0.5601124909928472,0.5615282292794812,0.5615282292794812,0.5615282292794812,9,1,1,0.525603504569029,0.5615282292794812,0.0
regression,red,1,41001,AutoML,0.525603504569029,0.5256035045690292,0.525603504569029,0.525603504569029,0.525603504569029,61,0,0,0.525603504569029,0.5615282292794812,0.03592472471045216
regression,red,2,41002,Data-Bandit,0.54734581468739,0.546535526960366,0.5473332373447868,0.54734581468739,0.54734581468739,61,0,0,0.523581392077371,0.5530692841339739,0.005723469446583973
regression,red,2,41002,Data-All,0.5530692841339739,0.5476185106827829,0.5432229044507535,0.5428342495179862,0.5530692841339739,24,1,1,0.523581392077371,0.5530692841339739,0.0
regression,red,2,41002,Data-Alt,0.5530692841339739,0.549964145852966,0.5428476169652066,0.5530692841339739,0.5530692841339739,18,1,1,0.523581392077371,0.5530692841339739,0.0
regression,red,2,41002,AutoML,0.5199294280718105,0.5201728923388479,0.5199294280718105,0.5199294280718105,0.5199294280718105,61,0,0,0.523581392077371,0.5530692841339739,0.03313985606216341
regression,red,3,41003,Data-Bandit,0.5398586837093888,0.5388774575184119,0.5398586837093888,0.5398586837093888,0.5398586837093888,4,1,0,0.5154492761675968,0.5378799777173456,-0.001978705992043195
regression,red,3,41003,Data-All,0.5378799777173456,0.532585296920098,0.5239432153747079,0.5285307217106787,0.5378799777173456,23,1,1,0.5154492761675968,0.5378799777173456,0.0
regression,red,3,41003,Data-Alt,0.5391722139878685,0.5354118954519304,0.5285630687750291,0.5391722139878685,0.5391722139878685,17,1,0,0.5154492761675968,0.5378799777173456,-0.001292236270522884
regression,red,3,41003,AutoML,0.5113881390835586,0.5116544305382106,0.5113881390835586,0.5113881390835586,0.5113881390835586,61,0,0,0.5154492761675968,0.5378799777173456,0.026491838633787013
regression,red,4,41004,Data-Bandit,0.5648490250831364,0.5637666754485977,0.5648490250831364,0.5648490250831364,0.5648490250831364,61,0,0,0.5195238970357506,0.5695015252516895,0.00465250016855312
regression,red,4,41004,Data-All,0.5695015252516895,0.5571830638949585,0.554876849565691,0.5540677702902121,0.5695015252516895,48,1,1,0.5195238970357506,0.5695015252516895,0.0
regression,red,4,41004,Data-Alt,0.56010873001724,0.5586093701529262,0.5540677702902121,0.56010873001724,0.56010873001724,61,0,0,0.5195238970357506,0.5695015252516895,0.00939279523444947
regression,red,4,41004,AutoML,0.5191651101006318,0.5191661624652746,0.5191651101006318,0.5191651101006318,0.5191651101006318,61,0,0,0.5195238970357506,0.5695015252516895,0.05033641515105769
regression,red,5,41005,Data-Bandit,0.5590682486623929,0.557228219743893,0.5560836350415196,0.5590682486623929,0.5590682486623929,20,1,1,0.5191258970493104,0.5590682486623929,0.0
regression,red,5,41005,Data-All,0.5590682486623929,0.5531413889944715,0.5481834717857134,0.5592541838410598,0.5590682486623929,18,1,1,0.5191258970493104,0.5590682486623929,0.0
regression,red,5,41005,Data-Alt,0.5606684981270037,0.5587554579067009,0.5592541838410598,0.5606684981270037,0.5606684981270037,9,1,0,0.5191258970493104,0.5590682486623929,-0.0016002494646107923
regression,red,5,41005,AutoML,0.5176512153199797,0.5177741054640905,0.5176512153199797,0.5176512153199797,0.5176512153199797,61,0,0,0.5191258970493104,0.5590682486623929,0.0414170333424132
regression,red,6,41006,Data-Bandit,0.5579817658405257,0.5572097210852875,0.5579817658405257,0.5579817658405257,0.5579817658405257,3,1,1,0.5183331329799944,0.5579817658405257,0.0
regression,red,6,41006,Data-All,0.5579817658405257,0.553529235450683,0.5530423937039827,0.5600521918697859,0.5579817658405257,13,1,1,0.5183331329799944,0.5579817658405257,0.0
regression,red,6,41006,Data-Alt,0.5579817658405257,0.5575574723094586,0.5600521918697859,0.5579817658405257,0.5579817658405257,3,1,1,0.5183331329799944,0.5579817658405257,0.0
regression,red,6,41006,AutoML,0.5168759518037874,0.5168759518037874,0.5168759518037874,0.5168759518037874,0.5168759518037874,61,0,0,0.5183331329799944,0.5579817658405257,0.0411058140367383
regression,red,7,41007,Data-Bandit,0.5490311393890992,0.5483720388579271,0.5489499928975716,0.5490311393890992,0.5490311393890992,9,1,0,0.5225658677945609,0.5525025566069292,0.003471417217829953
regression,red,7,41007,Data-All,0.5525025566069292,0.5469142079670001,0.5425607746711164,0.5467299561096007,0.5525025566069292,24,1,1,0.5225658677945609,0.5525025566069292,0.0
regression,red,7,41007,Data-Alt,0.5490311393890992,0.5480620516153764,0.5467299561096007,0.5501256412952985,0.5490311393890992,21,1,0,0.5225658677945609,0.5525025566069292,0.003471417217829953
regression,red,7,41007,AutoML,0.5171736139188577,0.5171736139188576,0.5171736139188577,0.5171736139188577,0.5171736139188577,61,0,0,0.5225658677945609,0.5525025566069292,0.03532894268807141
regression,red,8,41008,Data-Bandit,0.5579718633218036,0.5537759065144227,0.5492475438806257,0.5579718633218036,0.5579718633218036,20,1,1,0.5173326755172539,0.5579718633218036,0.0
regression,red,8,41008,Data-All,0.5579718633218036,0.5476573500221528,0.5384774264744195,0.5489440479234152,0.5579718633218036,48,1,1,0.5173326755172539,0.5579718633218036,0.0
regression,red,8,41008,Data-Alt,0.5579718633218036,0.5532930852767547,0.5489440479234152,0.5518317381621682,0.5579718633218036,27,1,1,0.5173326755172539,0.5579718633218036,0.0
regression,red,8,41008,AutoML,0.5173326755172539,0.5172433621217564,0.5173326755172539,0.5173326755172539,0.5173326755172539,61,0,0,0.5173326755172539,0.5579718633218036,0.04063918780454967
regression,red,9,41009,Data-Bandit,0.5511781051482755,0.5511446997929514,0.5541036759905932,0.5511781051482755,0.5511781051482755,2,1,0,0.5296535455950032,0.5453842221818963,-0.005793882966379171
