seed,prior,learning_rate,batch_size,rounds,initial_kl,final_kl,tail_mean_kl,tail_std_kl
20270718,uniform,1/2,100,1000,0.0,0.006153650431242901,0.005369260098075101,0.0027789847449429875
20270718,slightly_skewed,1/(t+1),10,1000,0.1835520685285563,0.0348812525579042,0.035111642354480034,0.00013349577728852109
20270718,slightly_skewed,1/(t+1),100,1000,0.1835520685285563,0.027155074772696554,0.02721890948506394,3.85673837220631e-05
20270718,slightly_skewed,1/sqrt(t),10,1000,0.1835520685285563,0.006500674563529198,0.008583131580253705,0.0013598368475928788
20270718,slightly_skewed,1/sqrt(t),100,1000,0.1835520685285563,0.001412338940286223,0.0012044592772636146,0.00012122633965864178
20270718,slightly_skewed,1/2,10,1000,0.1835520685285563,0.02359430495794522,0.06621029031285713,0.052975991109517964
20270718,slightly_skewed,1/2,100,1000,0.1835520685285563,0.009140609049589233,0.0046108486564650445,0.003367370663774846
20270718,highly_skewed,1/(t+1),10,1000,0.3103846249753723,0.06788380670453995,0.06868440783176501,0.0004427484858793451
20270718,highly_skewed,1/(t+1),100,1000,0.3103846249753723,0.054498084452078224,0.05499659905489342,0.0002948012907228409
20270718,highly_skewed,1/sqrt(t),10,1000,0.3103846249753723,0.013499314764905068,0.015328663544430916,0.0011513988865042625
20270718,highly_skewed,1/sqrt(t),100,1000,0.3103846249753723,0.010386684515555989,0.010762240353922032,0.00020431973779453917
20270718,highly_skewed,1/2,10,1000,0.3103846249753723,0.173131982047492,0.15535434206493684,0.04322735850874295
20270718,highly_skewed,1/2,100,1000,0.3103846249753723,0.011145863778862468,0.0068947873925790295,0.0038430041350537994
20270718,extremely_skewed,1/(t+1),10,1000,0.5928809603744556,0.0018768010586852658,0.0019445256214939116,4.417452484404292e-05
20270718,extremely_skewed,1/(t+1),100,1000,0.5928809603744556,2.1943738690983886e-05,1.6631047704623462e-05,2.567229094157696e-06
20270718,extremely_skewed,1/sqrt(t),10,1000,0.5928809603744556,0.007437333669590614,0.007712188088668041,0.002041531629392575
20270718,extremely_skewed,1/sqrt(t),100,1000,0.5928809603744556,0.0007003682604834599,0.00037217081325999343,0.00020099970020280531
20270718,extremely_skewed,1/2,10,1000,0.5928809603744556,0.6141693574010063,0.5397891123594618,0.045521028093076656
